Track,Position,No,Driver,Team,Starting Grid,Laps,Total Time/Gap/Retirement,Points,Fastest Lap
Mexico,9,10,Pierre Gasly,Scuderia Toro Rosso Honda,10,70,+1 lap,2,No
United States,3,33,Max Verstappen,Red Bull Racing Honda,3,56,+5.002,15,No
United States,5,23,Alexander Albon,Red Bull Racing Honda,6,56,+78.038,10,No
United States,10,11,Sergio Perez,Racing Point BWT Mercedes,20,55,+1 lap,1,No
United States,16,10,Pierre Gasly,Scuderia Toro Rosso Honda,10,54,DNF,0,No
Brazil,1,33,Max Verstappen,Red Bull Racing Honda,1,71,1:33:14.678,25,No
Brazil,2,10,Pierre Gasly,Scuderia Toro Rosso Honda,6,71,+6.077,18,No
Brazil,9,11,Sergio Perez,Racing Point BWT Mercedes,15,71,+11.529,2,No
Brazil,14,23,Alexander Albon,Red Bull Racing Honda,5,71,+14.927,0,No
Abu Dhabi,2,33,Max Verstappen,Red Bull Racing Honda,2,55,+16.772,18,No
Abu Dhabi,6,23,Alexander Albon,Red Bull Racing Honda,5,55,+69.205,8,No
Abu Dhabi,7,11,Sergio Perez,Racing Point BWT Mercedes,10,54,+1 lap,6,No
Abu Dhabi,18,10,Pierre Gasly,Scuderia Toro Rosso Honda,11,53,+2 laps,0,No
